# A2,A3,p2,p3,max
1.00000,0.75000,0.00000,0.80000,2.27156
1.00000,0.75000,0.20000,0.00000,2.26378
1.00000,0.75000,0.20000,0.20000,2.62206
1.00000,0.75000,0.20000,0.40000,2.19962
1.00000,0.75000,0.20000,0.60000,2.57385
1.00000,0.75000,0.20000,0.80000,2.19954
1.00000,0.75000,0.40000,0.00000,2.00399
1.00000,0.75000,0.40000,0.20000,2.73009
1.00000,0.75000,0.40000,0.40000,1.98047
1.00000,0.75000,0.40000,0.60000,2.38669
1.00000,0.75000,0.40000,0.80000,2.58156
1.00000,0.75000,0.60000,0.00000,2.00399
1.00000,0.75000,0.60000,0.20000,2.58156
1.00000,0.75000,0.60000,0.40000,2.38669
1.00000,0.75000,0.60000,0.60000,1.98047
1.00000,0.75000,0.60000,0.80000,2.73009
1.00000,0.75000,0.80000,0.00000,2.26378
1.00000,0.75000,0.80000,0.20000,2.19954
1.00000,0.75000,0.80000,0.40000,2.57385
1.00000,0.75000,0.80000,0.60000,2.19962
1.00000,0.75000,0.80000,0.80000,2.62206
1.00000,1.00000,0.00000,0.00000,2.49961
1.00000,1.00000,0.00000,0.20000,2.49606
1.00000,1.00000,0.00000,0.40000,2.76011
1.00000,1.00000,0.00000,0.60000,2.76011
1.00000,1.00000,0.00000,0.80000,2.49606
1.00000,1.00000,0.20000,0.00000,2.51056
1.00000,1.00000,0.20000,0.20000,2.86743
1.00000,1.00000,0.20000,0.40000,2.44005
1.00000,1.00000,0.20000,0.60000,2.81337
1.00000,1.00000,0.20000,0.80000,2.39779
1.00000,1.00000,0.40000,0.00000,2.25205
1.00000,1.00000,0.40000,0.20000,2.97890
1.00000,1.00000,0.40000,0.40000,2.14074
1.00000,1.00000,0.40000,0.60000,2.59399
1.00000,1.00000,0.40000,0.80000,2.81282
1.00000,1.00000,0.60000,0.00000,2.25205
1.00000,1.00000,0.60000,0.20000,2.81282
1.00000,1.00000,0.60000,0.40000,2.59399
1.00000,1.00000,0.60000,0.60000,2.14074
1.00000,1.00000,0.60000,0.80000,2.97890
1.00000,1.00000,0.80000,0.00000,2.51056
1.00000,1.00000,0.80000,0.20000,2.39779
1.00000,1.00000,0.80000,0.40000,2.81337
1.00000,1.00000,0.80000,0.60000,2.44005
1.00000,1.00000,0.80000,0.80000,2.86743
1.00000,1.25000,0.00000,0.00000,2.73005
1.00000,1.25000,0.00000,0.20000,2.72847
1.00000,1.25000,0.00000,0.40000,3.01010
1.00000,1.25000,0.00000,0.60000,3.01010
1.00000,1.25000,0.00000,0.80000,2.72847
1.00000,1.25000,0.20000,0.00000,2.75826
1.00000,1.25000,0.20000,0.20000,3.11411
